specimen,hole_index,x_mm,y_mm,radius_mm,diameter_mm,note
transverse_dense_perforated_plate,33,161,77,5,10,Legacy FEM transverse reference layout.
transverse_dense_perforated_plate,34,161,100,5,10,Legacy FEM transverse reference layout.
transverse_dense_perforated_plate,35,161,123,5,10,Legacy FEM transverse reference layout.
transverse_dense_perforated_plate,36,184,31,5,10,Legacy FEM transverse reference layout.
transverse_dense_perforated_plate,37,184,54,5,10,Legacy FEM transverse reference layout.
transverse_dense_perforated_plate,38,184,77,5,10,Legacy FEM transverse reference layout.
transverse_dense_perforated_plate,39,184,100,5,10,Legacy FEM transverse reference layout.
transverse_dense_perforated_plate,40,184,123,5,10,Legacy FEM transverse reference layout.
longitudinal_dense_perforated_plate,1,34,31,5,10,Legacy FEM longitudinal reference layout.
longitudinal_dense_perforated_plate,2,34,54,5,10,Legacy FEM longitudinal reference layout.
longitudinal_dense_perforated_plate,3,34,77,5,10,Legacy FEM longitudinal reference layout.
longitudinal_dense_perforated_plate,4,34,100,5,10,Legacy FEM longitudinal reference layout.
longitudinal_dense_perforated_plate,5,34,123,5,10,Legacy FEM longitudinal reference layout.
longitudinal_dense_perforated_plate,6,56,31,5,10,Legacy FEM longitudinal reference layout.
longitudinal_dense_perforated_plate,7,56,54,5,10,Legacy FEM longitudinal reference layout.
longitudinal_dense_perforated_plate,8,56,77,5,10,Legacy FEM longitudinal reference layout.
longitudinal_dense_perforated_plate,9,56,100,5,10,Legacy FEM longitudinal reference layout.
longitudinal_dense_perforated_plate,10,56,123,5,10,Legacy FEM longitudinal reference layout.
longitudinal_dense_perforated_plate,11,78,31,5,10,Legacy FEM longitudinal reference layout.
longitudinal_dense_perforated_plate,12,78,54,5,10,Legacy FEM longitudinal reference layout.
longitudinal_dense_perforated_plate,13,78,77,5,10,Legacy FEM longitudinal reference layout.
longitudinal_dense_perforated_plate,14,78,100,5,10,Legacy FEM longitudinal reference layout.
longitudinal_dense_perforated_plate,15,78,123,5,10,Legacy FEM longitudinal reference layout.
longitudinal_dense_perforated_plate,16,100,31,5,10,Legacy FEM longitudinal reference layout.
longitudinal_dense_perforated_plate,17,100,54,5,10,Legacy FEM longitudinal reference layout.
longitudinal_dense_perforated_plate,18,100,77,5,10,Legacy FEM longitudinal reference layout.
longitudinal_dense_perforated_plate,19,100,100,5,10,Legacy FEM longitudinal reference layout.
longitudinal_dense_perforated_plate,20,100,123,5,10,Legacy FEM longitudinal reference layout.
longitudinal_dense_perforated_plate,21,122,31,5,10,Legacy FEM longitudinal reference layout.
longitudinal_dense_perforated_plate,22,122,54,5,10,Legacy FEM longitudinal reference layout.
longitudinal_dense_perforated_plate,23,122,77,5,10,Legacy FEM longitudinal reference layout.
longitudinal_dense_perforated_plate,24,122,100,5,10,Legacy FEM longitudinal reference layout.
longitudinal_dense_perforated_plate,25,122,123,5,10,Legacy FEM longitudinal reference layout.
longitudinal_dense_perforated_plate,26,144,31,5,10,Legacy FEM longitudinal reference layout.
longitudinal_dense_perforated_plate,27,144,54,5,10,Legacy FEM longitudinal reference layout.
longitudinal_dense_perforated_plate,28,144,77,5,10,Legacy FEM longitudinal reference layout.
longitudinal_dense_perforated_plate,29,144,100,5,10,Legacy FEM longitudinal reference layout.
longitudinal_dense_perforated_plate,30,144,123,5,10,Legacy FEM longitudinal reference layout.
longitudinal_dense_perforated_plate,31,166,31,5,10,Legacy FEM longitudinal reference layout.
longitudinal_dense_perforated_plate,32,166,54,5,10,Legacy FEM longitudinal reference layout.
longitudinal_dense_perforated_plate,33,166,77,5,10,Legacy FEM longitudinal reference layout.
longitudinal_dense_perforated_plate,34,166,100,5,10,Legacy FEM longitudinal reference layout.
longitudinal_dense_perforated_plate,35,166,123,5,10,Legacy FEM longitudinal reference layout.
longitudinal_dense_perforated_plate,36,188,31,5,10,Legacy FEM longitudinal reference layout.
longitudinal_dense_perforated_plate,37,188,54,5,10,Legacy FEM longitudinal reference layout.
longitudinal_dense_perforated_plate,38,188,77,5,10,Legacy FEM longitudinal reference layout.
longitudinal_dense_perforated_plate,39,188,100,5,10,Legacy FEM longitudinal reference layout.
longitudinal_dense_perforated_plate,40,188,123,5,10,Legacy FEM longitudinal reference layout.
