specimen,hole_index,x_mm,y_mm,radius_mm,diameter_mm,note
uniform_perforated_plate,22,134.285714,75,5,10,Uniform 8 by 5 hole array across the allowable region.
uniform_perforated_plate,23,157.142857,75,5,10,Uniform 8 by 5 hole array across the allowable region.
uniform_perforated_plate,24,180,75,5,10,Uniform 8 by 5 hole array across the allowable region.
uniform_perforated_plate,25,20,102.5,5,10,Uniform 8 by 5 hole array across the allowable region.
uniform_perforated_plate,26,42.857143,102.5,5,10,Uniform 8 by 5 hole array across the allowable region.
uniform_perforated_plate,27,65.714286,102.5,5,10,Uniform 8 by 5 hole array across the allowable region.
uniform_perforated_plate,28,88.571429,102.5,5,10,Uniform 8 by 5 hole array across the allowable region.
uniform_perforated_plate,29,111.428571,102.5,5,10,Uniform 8 by 5 hole array across the allowable region.
uniform_perforated_plate,30,134.285714,102.5,5,10,Uniform 8 by 5 hole array across the allowable region.
uniform_perforated_plate,31,157.142857,102.5,5,10,Uniform 8 by 5 hole array across the allowable region.
uniform_perforated_plate,32,180,102.5,5,10,Uniform 8 by 5 hole array across the allowable region.
uniform_perforated_plate,33,20,130,5,10,Uniform 8 by 5 hole array across the allowable region.
uniform_perforated_plate,34,42.857143,130,5,10,Uniform 8 by 5 hole array across the allowable region.
uniform_perforated_plate,35,65.714286,130,5,10,Uniform 8 by 5 hole array across the allowable region.
uniform_perforated_plate,36,88.571429,130,5,10,Uniform 8 by 5 hole array across the allowable region.
uniform_perforated_plate,37,111.428571,130,5,10,Uniform 8 by 5 hole array across the allowable region.
uniform_perforated_plate,38,134.285714,130,5,10,Uniform 8 by 5 hole array across the allowable region.
uniform_perforated_plate,39,157.142857,130,5,10,Uniform 8 by 5 hole array across the allowable region.
uniform_perforated_plate,40,180,130,5,10,Uniform 8 by 5 hole array across the allowable region.
transverse_dense_perforated_plate,1,23,31,5,10,Centered compact 8 by 5 cluster using the minimum center spacing.
transverse_dense_perforated_plate,2,45,31,5,10,Centered compact 8 by 5 cluster using the minimum center spacing.
transverse_dense_perforated_plate,3,67,31,5,10,Centered compact 8 by 5 cluster using the minimum center spacing.
transverse_dense_perforated_plate,4,89,31,5,10,Centered compact 8 by 5 cluster using the minimum center spacing.
transverse_dense_perforated_plate,5,111,31,5,10,Centered compact 8 by 5 cluster using the minimum center spacing.
transverse_dense_perforated_plate,6,133,31,5,10,Centered compact 8 by 5 cluster using the minimum center spacing.
transverse_dense_perforated_plate,7,155,31,5,10,Centered compact 8 by 5 cluster using the minimum center spacing.
transverse_dense_perforated_plate,8,177,31,5,10,Centered compact 8 by 5 cluster using the minimum center spacing.
transverse_dense_perforated_plate,9,23,53,5,10,Centered compact 8 by 5 cluster using the minimum center spacing.
transverse_dense_perforated_plate,10,45,53,5,10,Centered compact 8 by 5 cluster using the minimum center spacing.
transverse_dense_perforated_plate,11,67,53,5,10,Centered compact 8 by 5 cluster using the minimum center spacing.
transverse_dense_perforated_plate,12,89,53,5,10,Centered compact 8 by 5 cluster using the minimum center spacing.
transverse_dense_perforated_plate,13,111,53,5,10,Centered compact 8 by 5 cluster using the minimum center spacing.
transverse_dense_perforated_plate,14,133,53,5,10,Centered compact 8 by 5 cluster using the minimum center spacing.
transverse_dense_perforated_plate,15,155,53,5,10,Centered compact 8 by 5 cluster using the minimum center spacing.
transverse_dense_perforated_plate,16,177,53,5,10,Centered compact 8 by 5 cluster using the minimum center spacing.
transverse_dense_perforated_plate,17,23,75,5,10,Centered compact 8 by 5 cluster using the minimum center spacing.
transverse_dense_perforated_plate,18,45,75,5,10,Centered compact 8 by 5 cluster using the minimum center spacing.
transverse_dense_perforated_plate,19,67,75,5,10,Centered compact 8 by 5 cluster using the minimum center spacing.
transverse_dense_perforated_plate,20,89,75,5,10,Centered compact 8 by 5 cluster using the minimum center spacing.
transverse_dense_perforated_plate,21,111,75,5,10,Centered compact 8 by 5 cluster using the minimum center spacing.
transverse_dense_perforated_plate,22,133,75,5,10,Centered compact 8 by 5 cluster using the minimum center spacing.
transverse_dense_perforated_plate,23,155,75,5,10,Centered compact 8 by 5 cluster using the minimum center spacing.
transverse_dense_perforated_plate,24,177,75,5,10,Centered compact 8 by 5 cluster using the minimum center spacing.
transverse_dense_perforated_plate,25,23,97,5,10,Centered compact 8 by 5 cluster using the minimum center spacing.
transverse_dense_perforated_plate,26,45,97,5,10,Centered compact 8 by 5 cluster using the minimum center spacing.
transverse_dense_perforated_plate,27,67,97,5,10,Centered compact 8 by 5 cluster using the minimum center spacing.
transverse_dense_perforated_plate,28,89,97,5,10,Centered compact 8 by 5 cluster using the minimum center spacing.
transverse_dense_perforated_plate,29,111,97,5,10,Centered compact 8 by 5 cluster using the minimum center spacing.
transverse_dense_perforated_plate,30,133,97,5,10,Centered compact 8 by 5 cluster using the minimum center spacing.
transverse_dense_perforated_plate,31,155,97,5,10,Centered compact 8 by 5 cluster using the minimum center spacing.
transverse_dense_perforated_plate,32,177,97,5,10,Centered compact 8 by 5 cluster using the minimum center spacing.
transverse_dense_perforated_plate,33,23,119,5,10,Centered compact 8 by 5 cluster using the minimum center spacing.
transverse_dense_perforated_plate,34,45,119,5,10,Centered compact 8 by 5 cluster using the minimum center spacing.
transverse_dense_perforated_plate,35,67,119,5,10,Centered compact 8 by 5 cluster using the minimum center spacing.
transverse_dense_perforated_plate,36,89,119,5,10,Centered compact 8 by 5 cluster using the minimum center spacing.
transverse_dense_perforated_plate,37,111,119,5,10,Centered compact 8 by 5 cluster using the minimum center spacing.
transverse_dense_perforated_plate,38,133,119,5,10,Centered compact 8 by 5 cluster using the minimum center spacing.
transverse_dense_perforated_plate,39,155,119,5,10,Centered compact 8 by 5 cluster using the minimum center spacing.
transverse_dense_perforated_plate,40,177,119,5,10,Centered compact 8 by 5 cluster using the minimum center spacing.
longitudinal_dense_perforated_plate,1,34,31,5,10,Seven vertical columns; central five columns have six holes and outer columns have five holes.
longitudinal_dense_perforated_plate,2,34,53,5,10,Seven vertical columns; central five columns have six holes and outer columns have five holes.
longitudinal_dense_perforated_plate,3,34,75,5,10,Seven vertical columns; central five columns have six holes and outer columns have five holes.
longitudinal_dense_perforated_plate,4,34,97,5,10,Seven vertical columns; central five columns have six holes and outer columns have five holes.
longitudinal_dense_perforated_plate,5,34,119,5,10,Seven vertical columns; central five columns have six holes and outer columns have five holes.
longitudinal_dense_perforated_plate,6,56,20,5,10,Seven vertical columns; central five columns have six holes and outer columns have five holes.
longitudinal_dense_perforated_plate,7,56,42,5,10,Seven vertical columns; central five columns have six holes and outer columns have five holes.
longitudinal_dense_perforated_plate,8,56,64,5,10,Seven vertical columns; central five columns have six holes and outer columns have five holes.
longitudinal_dense_perforated_plate,9,56,86,5,10,Seven vertical columns; central five columns have six holes and outer columns have five holes.
longitudinal_dense_perforated_plate,10,56,108,5,10,Seven vertical columns; central five columns have six holes and outer columns have five holes.
longitudinal_dense_perforated_plate,11,56,130,5,10,Seven vertical columns; central five columns have six holes and outer columns have five holes.
longitudinal_dense_perforated_plate,12,78,20,5,10,Seven vertical columns; central five columns have six holes and outer columns have five holes.
longitudinal_dense_perforated_plate,13,78,42,5,10,Seven vertical columns; central five columns have six holes and outer columns have five holes.
longitudinal_dense_perforated_plate,14,78,64,5,10,Seven vertical columns; central five columns have six holes and outer columns have five holes.
longitudinal_dense_perforated_plate,15,78,86,5,10,Seven vertical columns; central five columns have six holes and outer columns have five holes.
longitudinal_dense_perforated_plate,16,78,108,5,10,Seven vertical columns; central five columns have six holes and outer columns have five holes.
longitudinal_dense_perforated_plate,17,78,130,5,10,Seven vertical columns; central five columns have six holes and outer columns have five holes.
longitudinal_dense_perforated_plate,18,100,20,5,10,Seven vertical columns; central five columns have six holes and outer columns have five holes.
longitudinal_dense_perforated_plate,19,100,42,5,10,Seven vertical columns; central five columns have six holes and outer columns have five holes.
longitudinal_dense_perforated_plate,20,100,64,5,10,Seven vertical columns; central five columns have six holes and outer columns have five holes.
longitudinal_dense_perforated_plate,21,100,86,5,10,Seven vertical columns; central five columns have six holes and outer columns have five holes.
longitudinal_dense_perforated_plate,22,100,108,5,10,Seven vertical columns; central five columns have six holes and outer columns have five holes.
longitudinal_dense_perforated_plate,23,100,130,5,10,Seven vertical columns; central five columns have six holes and outer columns have five holes.
longitudinal_dense_perforated_plate,24,122,20,5,10,Seven vertical columns; central five columns have six holes and outer columns have five holes.
longitudinal_dense_perforated_plate,25,122,42,5,10,Seven vertical columns; central five columns have six holes and outer columns have five holes.
longitudinal_dense_perforated_plate,26,122,64,5,10,Seven vertical columns; central five columns have six holes and outer columns have five holes.
longitudinal_dense_perforated_plate,27,122,86,5,10,Seven vertical columns; central five columns have six holes and outer columns have five holes.
longitudinal_dense_perforated_plate,28,122,108,5,10,Seven vertical columns; central five columns have six holes and outer columns have five holes.
longitudinal_dense_perforated_plate,29,122,130,5,10,Seven vertical columns; central five columns have six holes and outer columns have five holes.
longitudinal_dense_perforated_plate,30,144,20,5,10,Seven vertical columns; central five columns have six holes and outer columns have five holes.
longitudinal_dense_perforated_plate,31,144,42,5,10,Seven vertical columns; central five columns have six holes and outer columns have five holes.
longitudinal_dense_perforated_plate,32,144,64,5,10,Seven vertical columns; central five columns have six holes and outer columns have five holes.
longitudinal_dense_perforated_plate,33,144,86,5,10,Seven vertical columns; central five columns have six holes and outer columns have five holes.
longitudinal_dense_perforated_plate,34,144,108,5,10,Seven vertical columns; central five columns have six holes and outer columns have five holes.
longitudinal_dense_perforated_plate,35,144,130,5,10,Seven vertical columns; central five columns have six holes and outer columns have five holes.
longitudinal_dense_perforated_plate,36,166,31,5,10,Seven vertical columns; central five columns have six holes and outer columns have five holes.
longitudinal_dense_perforated_plate,37,166,53,5,10,Seven vertical columns; central five columns have six holes and outer columns have five holes.
longitudinal_dense_perforated_plate,38,166,75,5,10,Seven vertical columns; central five columns have six holes and outer columns have five holes.
longitudinal_dense_perforated_plate,39,166,97,5,10,Seven vertical columns; central five columns have six holes and outer columns have five holes.
longitudinal_dense_perforated_plate,40,166,119,5,10,Seven vertical columns; central five columns have six holes and outer columns have five holes.
